"subj"	"block"	"bsl"	"speed"	"trialN"	"condi"	"setID"	"RTs"	"dprime"	"cyc"	"cond"	"tempo"	"response"	"RTadj"	"tone"
"184"	"2"	5	0.34746	1	28	"2"	8	0.918	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.57054	23
"185"	"2"	5	0.34746	1	33	"2"	16	0.8199	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47244	19
"186"	"2"	5	0.34746	1	34	"2"	30	0.9161	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.56864	23
"187"	"2"	5	0.34746	1	39	"2"	34	0.7684	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42094	17
"188"	"2"	5	0.34746	1	40	"2"	17	0.9078	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.56034	22
"189"	"2"	5	0.34746	1	44	"2"	11	0.8752	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.52774	21
"190"	"2"	5	0.34746	1	46	"2"	35	0.8589	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.51144	20
"191"	"2"	5	0.34746	1	47	"2"	20	0.7356	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.38814	16
"192"	"2"	5	0.34746	1	48	"2"	26	0.7887	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.44124	18
"193"	"2"	5	0.34746	1	50	"2"	7	0.7709	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42344	17
"194"	"2"	5	0.34746	1	51	"2"	32	0.6669	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.31944	13
"195"	"2"	5	0.34746	1	53	"2"	18	0.7294	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.38194	15
"196"	"2"	5	0.34746	1	54	"2"	33	0.7913	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.44384	18
"197"	"2"	5	0.34746	1	56	"2"	14	0.8623	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.51484	21
"198"	"2"	5	0.34746	1	57	"2"	12	0.643	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.29554	12
"199"	"2"	5	0.34746	1	62	"2"	15	0.7778	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43034	17
"200"	"2"	5	0.34746	1	65	"2"	6	0.7819	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43444	17
"201"	"2"	5	0.34746	1	66	"2"	27	0.7743	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42684	17
"202"	"2"	5	0.34746	1	70	"2"	25	0.7613	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.41384	17
"203"	"2"	5	0.34746	1	71	"2"	23	0.846	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.49854	20
"204"	"2"	5	0.34746	1	75	"2"	10	0.8714	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.52394	21
